Ticker,Company Name,Field,Info,Address,Website
BVS,CTCP Chứng khoán Bảo Việt,Tài chính và bảo hiểm,"CTCP Chứng khoán Bảo Việt (BVS) là công ty chứng khoán đầu tiên được thành lập tại Việt Nam năm 1999 với cổ đông sáng lập là Tập đoàn Bảo Việt. Công ty hoạt động chính trong lĩnh vực môi giới chứng khoán, trái phiếu, tự doanh chứng khoán, tư vấn đầu tư, bảo lãnh phát hành và lưu ký chứng khoán. Trong chiến lược phát triển trung và dài hạn, BVS có kế hoạch trở thành Công ty chứng khoán cung cấp đa dịch vụ với mục tiêu ưu tiên là môi giới và dịch vụ ngân hàng đầu tư.",Tầng 2 và 3 tòa nhà số 72 - Đường Trần Hưng Đạo - P. Trần Hưng Đạo - Q. Hoàn Kiếm - Tp. Hà Nội,http://www.bvsc.com.vn/
C69,CTCP Xây dựng 1369,Xây dựng và Bất động sản,"CTCP Xây dựng 1369 (C69) được thành lập vào tháng 08/2003. Công ty hoạt động chính trong lĩnh vực thiết kế thi công các công trình xây dựng dân dụng và công nghiệp. Ngoài ra, Công ty cũng tham gia hoạt động kiến trúc và tư vấn kỹ thuật, tư vấn quản lý dự án; khai thác, sản xuất, kinh doanh, xuất khẩu khoáng sản; bốc xúc, vận tải hàng hoá bằng đường bộ; buôn bán máy móc, thiết bị công nghiệp và phụ tùng máy khác... C69 trở thành công ty đại chúng vào năm 2016. Ngày 21/04/2017, C69 chính thức giao dịch tại Sở Giao dịch Chứng khoán Hà Nội (HNX).",Số 37 - 38 Phố Dã Tượng - P. Lê Thanh Nghị - Tp. Hải Dương - T. Hải Dương,https://cpxd1369.com.vn/
CEO,CTCP Tập đoàn C.E.O,Xây dựng và Bất động sản,"Công ty Cổ phần Đầu tư C.E.O, tiền thân là Công ty TNHH Thương mại, Xây dựng và Công nghệ Việt Nam (VITECO) được thành lập ngày 26/10/2001 với vốn điều lệ ban đầu là 1.6 tỷ đồng. Năm 2014, cổ phiếu của công ty chính thức được giao dịch trên Sở Giao dịch Chứng khoán Hà Nội (HNX) với mã chứng khoán CEO. Năm 2016, CEO khai trương Khu nghỉ dưỡng 5 sao Novotel Phu Quoc Resort và khánh thành Trường Cao đẳng Đại Việt có trụ sở tại Bắc Ninh. Tập đoàn CEO tập trung vào 5 trụ cột kinh doanh cốt lõi bao gồm: Phát triển và quản lý Bất động sản, Phát triển và quản lý Bất động sản nghỉ dưỡng, Du lịch - Quản lý khách sạn, Xây dựng, Phát triển nguồn nhân lực.",Tầng 5 - Tháp CEO - HH2-1 - Đô thị mới Mễ Trì Hạ - Đường Phạm Hùng - P. Mễ Trì - Q. Nam Từ Liêm - Tp. Hà Nội,http://ceogroup.com.vn
CMS,CTCP CMVIETNAM,Xây dựng và Bất động sản,"CTCP Xây dựng và Nhân lực Việt Nam (CMS) được thành lập vào năm 2007, trước đây là CTCP Cavico Xây dựng Nhân lực và Dịch vụ (Cavico CMS). Công ty hoạt động trong lĩnh vực xây dựng các công trình hạ tầng trong và ngoài nước; xây dựng đường hầm, công trình giao thông; kinh doanh buôn bán vật liệu, máy móc thiết bị xây dựng và xuất khẩu lao động; kinh doanh bất động sản. Trong lĩnh vực xây dựng, CMS được thừa hưởng rất nhiều từ giá trị thương hiệu của Tổng công ty Cavico Việt Nam, một doanh nghiệp hàng đầu trong lĩnh vực thi công, xây lắp các công trình xây dựng cơ bản, đường, hầm cầu, các nhà máy điện. Một số dự án tiêu biểu là Dự án Hầm giao thông (Algieria), Dự án Thủy điện Ulu Jelai (Malaysia), Dự án Thủy Điện Xayabury (Lào), Dự án Thủy điện Xepian Xenamnoy (Lào), Dự án Thủy điện Sendje Ghine (Ghine Xích đạo), Dự án Thủy điện Nậm Ngừm 1 (Lào), Dự án Thủy lợi Ngàn Trươi (Hà Tĩnh), Dự án Hồ chứa nước Bản Mòng (Sơn La), Dự án Thi công Xây dựng Mở rộng Hầm Hải Vân 2 (Huế - Đà Nẵng)... Trong lĩnh vực xuất khẩu lao động, CMS là đơn vị đầu tiên ở Việt Nam đưa người đi lao động nước ngoài thông qua hình thức đấu thầu cung cấp nhân lực cho dự án tại nước ngoài. Công ty là một trong những đơn vị có mô hình xuất khẩu lao động có tay nghề cao ra nước ngoài được Bộ Lao động Thương binh và Xã hội công nhận.",Số 33 - Đường Cầu Diễn - P. Phúc Diễn - Q. Bắc Từ Liêm - Tp. Hà Nội,http://www.cmvietnam.vn
CSC,CTCP Tập đoàn COTANA,Xây dựng và Bất động sản,"CTCP Tập đoàn Cotana (CSC) có tiền thân là Công ty TNHH Xây dựng Thành Nam được thành lập năm 1993. Công ty cổ phần hóa năm 2004 với vốn điều lệ ban đầu là 10.62 tỷ đồng. CSC hoạt động trong lĩnh vực xây dựng các công trình dân dụng, công nghiệp, giao thông, thuỷ lợi, công trình kỹ thuật cơ sở hạ tầng; lắp đặt điện nước, điện lạnh, trang trí ngoại nội thất công trình; sản xuất và buôn bán: vật liệu xây dựng, máy móc, thiết bị xây dựng...; môi giới và kinh doanh bất động sản. Các dự án nổi bật của Công ty bao gồm: Tòa nhà Hud Tower - Lê Văn Lương, Hà Nội; Khu đô thị mới Đặng Xá, Gia Lâm, Hà Nội; Ký túc xá Trường Cao đăng xây dựng số 1, Hà Đông; Khu đô thị mới Đông Sơn Thanh Hóa; các dự án đầu tư nhà ở thấp tầng BT08, LK27 tại khu đô thị mới Vân Canh, khu nhà thấp tầng Nơ - 05B Việt Hưng, nhà ở chung cư cao tầng CT17, khu nhà cao cấp Viglacera Tower...",Lô CC5A Bán đảo Linh Đàm - P. Hoàng Liệt - Q. Hoàng Mai - Tp. Hà Nội,http://www.cotanagroup.vn
CTC,CTCP Tập đoàn Hoàng Kim Tây Nguyên,"Cửa hàng đồ dùng thể thao, đồ cổ, sách và âm nhạ","CTCP Gia Lai CTC (CTC) có tiền thân là Công ty Điện ảnh Gia Lai được thành lập vào năm 1975. Công ty hoạt động kinh doanh tập trung vào các lĩnh vực: phát hành sách, kinh doanh văn phòng phẩm, liên kết xuất bản; kinh doanh dịch vụ nhà hàng, khách sạn; kinh doanh dịch vụ du lịch, vui chơi giải trí. CTC chính thức hoạt động theo mô hình công ty cổ phần từ năm 2004 và niêm yết trên HNX vào năm 2008. CTC là một trong 10 doanh nghiệp phát hành sách hàng đầu của Việt Nam và đang quản lý 15 nhà sách trải rộng trên các tỉnh miền Trung (Gia Lai, Bình Định, Nghệ An, Thanh Hóa, Phú Yên, TPHCM, Quảng Ngãi, Phú Yên).",Số 18 Lê Lai - P. Tây Sơn - Tp. Pleiku - T. Gia Lai,http://gialaictc.com.vn
CVN,CTCP Vinam,Bán buôn kim loại và khoáng sản (trừ dầu khí),"CTCP Vinam (CVN) tiền thân là CTCP Đầu tư Tài nguyên và Năng lượng Việt Nam được thành lập năm 2007. Hoạt động kinh doanh chính của Công ty bao gồm dịch vụ xây dựng công trình; khai thác, sản xuất, kinh doanh vật liệu xây dựng; khai thác mỏ và kinh doanh bất động sản. Công ty đã thực hiện thi công một số công trình như tổng thầu dự án thi công trường trung cáp nghề kinh tế kỹ thuật Hòa Bình, liên doanh cùng CTCP Solavina triển khai thi công các hạng mục Nhà máy xi măng Quán Triều, Nhà máy xi măng La Hiên, Khu đô thị Văn Phú - Hà Đông. Tuy nhiên, hiện tại các dự án CVN tham gia đều đang ở trạng thái tạm dừng hoặc không khả thi.",Phòng 302 tầng 3 tòa tháp Tây chung cư thuộc dự án khu nhà ở cán bộ Học viện quốc phòng - P. Xuân La - Q. Tây Hồ - Tp. Hà Nội,http://www.vinamgroup.com.vn
DDG,CTCP Đầu tư Công nghiệp Xuất nhập khẩu Đông Dương,"Nước, chất thải và các hệ thống khác","CTCP Đầu tư Công nghiệp Xuất nhập khẩu Đông Dương (DDG) tiền thân là Công ty TNHH Đầu tư Phát triển Giáo dục Đông Thành thành lập vào năm 2010. Công ty hoạt động chính trong lĩnh vực thiết kế, đầu tư xây dựng hệ thống cung cấp hơi nhiệt - điện. Bên cạnh đó, Công ty còn tham gia kinh doanh nhiên liệu biomass và các phế phẩm nông nghiệp dùng làm nhiên liệu đốt trực tiếp hoặc dùng để sản xuất nhiên liệu biomass. DDG chuyển đổi thành công ty cổ phần từ năm 2016.",162B Điện Biên Phủ - P. Võ Thị Sáu - Q. 3 - TP. Hồ Chí Minh,https://dongduongcorp.com.vn/vi/
DL1,CTCP Tập đoàn Alpha Seven,Vận tải và kho bãi,"CTCP Đầu tư Phát triển Dịch vụ Công trình Công cộng Đức Long Gia Lai (DL1) tiền thân là Chi nhánh Bến xe Liên tỉnh Đức Long Gia Lai được thành lập năm 2005 với hoạt động kinh doanh chủ yếu là khai thác, điều hành Bến xe Đức Long Gia Lai. Bến xe Đức Long Gia Lai là bến xe khách duy nhất tại Thành phố Pleiku và là bến xe khách lớn nhất trên địa bàn tỉnh Gia Lai. Mảng hoạt động vận tải hành khách, thu phí qua bến là hai mảng hoạt động kinh doanh mang lại doanh thu chính cho Công ty. Bên cạnh đó, từ năm 2017, DL1 còn bổ sung một ngành nghề mới là hoạt động Bất động sản.",120 Trần Phú - P. Diên Hồng - Tp. Pleiku T. Gia Lai,https://www.a7group.vn/
DST,CTCP Đầu tư Sao Thăng Long,Công nghệ và thông tin,"CTCP Đầu tư Sao Thăng Long (DST) tiền thân là Phòng sách giáo khoa trực thuộc Sở Giáo dục - Đào tạo Nam Định được thành lập năm 1983. Năm 2004, Công ty chuyển sang hoạt động theo mô hình cổ phần. DST hoạt động chính trong ngành kinh doanh sách giáo khoa với thế mạnh là sách tham khảo và văn phòng phẩm. Từ năm 2018, Công ty được tái cấu trúc và hoạt động theo mô hình tập đoàn với các công ty thành viên, liên kết. Vốn điều lệ của Công ty hiện tại là 323 tỷ VND (khoảng 15 triệu USD). DST được định hướng hoạt động chính trong các lĩnh vực đầu tư tài chính và tư vấn mua bán, sáp nhập (M&A), các công ty thành viên liên kết sẽ hoạt động trong nhiều lĩnh vực từ sản xuất cho đến thương mại.",Số 13 Minh Khai - P. Nguyễn Du - Tp. Nam Định - T. Nam Định,http://saothanglong.vn
DTC,CTCP Viglacera Đông Triều,Sản xuất sản phẩm khoáng chất phi kim,"Công ty cổ phần Đông Triều Viglacera (DTC) là đơn vị thuộc Tổng công ty Viglacera chuyên sản xuất và kinh doanh vật liệu xây dựng hàng đầu Việt Nam với nhãn hiệu thương mại VIGLACERA. Hiện nay Công ty đã có ba nhà máy sản xuất vật liệu xây dựng chuyên sản xuất các sản phẩm chính bao gồm các loại gạch xây 2 lỗ, 6 lỗ, gạch nem tách 200, 250, 300, các loại ngói lợp, ngói mũi hài, ngói sò… Thị trường tiêu thụ chính của công ty bao gồm Quảng Ninh, Hải Phòng, Hải Dương, Hà Nội, Bắc Ninh, Bắc Giang, Thái Bình, Nam Định, Ninh Bình. Bên cạnh lĩnh vực sản xuất kinh doanh vật liệu xây dựng, công ty còn thành lập các xí nghiệp trực thuộc về xây dựng công trình công nghịêp dân dụng, kinh doanh dịch vụ. Ngày 16/11/2021 là ngày giao dịch đầu tiên cổ phiếu niêm yết trên sàn HNX.",P. Xuân Sơn - TX. Đông Triều - T. Quảng Ninh,http://viglaceradtc.com.vn/
DTD,CTCP Đầu tư Phát triển Thành Đạt,Xây dựng và Bất động sản,"CTCP Đầu tư Phát triển Thành Đạt (DTD) tiền thân là Công ty Xây dựng Thành Đạt, được thành lập năm 2001 với ngành nghề chính là xây dựng các công trình dân dụng, san lấp mặt bằng và xây dựng hạ tầng. Năm 2015, DTD chuyển đổi hoạt động theo mô hình công ty cổ phần. Công ty hoạt động chủ yếu tại tỉnh Hà Nam và các vùng lân cận. DTD đã thi công các dự án tiêu biểu như Dự án Xây dựng Khu công nghiệp Đồng Văn III - Duy Tiên - Hà Nam, Dự án đầu tư xây dựng công trình Trường THPT chuyên Biên Hòa - Phủ Lý - Hà Nam, Dự án Trung tâm nuôi dưỡng bệnh binh và người có công tỉnh Hà Nam - Hạng mục Nhà điều dưỡng, Dự án xây dựng hạ tầng Bệnh viện Hữu Nghị Việt Đức - Cơ sở II, Dự án xây dựng hạ tầng Bệnh viện Bạch Mai - Cơ sở II.",Đường Nguyễn Thị Định - P. Thanh Châu - Tp. Phủ Lý - T. Hà Nam,http://thanhdathanam.vn
DVG,CTCP Tập đoàn Sơn Đại Việt,"Sản xuất hóa chất, dược phẩm","CTCP Tập đoàn Sơn Đại Việt được thành lập năm 2006. Sau gần 20 năm phát triển trong ngành sơn, Công ty đã trở thành đơn vị cung cấp sơn có chất lượng và uy tín đến tay người tiêu dùng. Bên cạnh chất lượng vượt trội, trong mỗi sản phẩm sơn của Đại Việt đều chứa đựng những thông điệp văn hóa, nhằm thỏa mãn tối đa nhu cầu của khách hàng.",Đường Thanh Lãm - P. Phú Lãm - Q. Hà Đông - Tp. Hà Nội,http://sondaiviet.com.vn/
DXP,CTCP Cảng Đoạn Xá,Vận tải và kho bãi,"CTCP Cảng Đoạn Xá (DXP) được thành lập năm 1995, tiền thân là Xí nghiệp Xếp dỡ Đoạn Xá trực thuộc Cảng Hải Phòng. Hoạt động kinh doanh chính của Công ty là bốc xếp hàng hoá; kho bãi và lưu giữ hàng hoá; vận tải hàng hoá ven biển và viễn dương; vận tải hàng hoá bằng đường bộ; dịch vụ đại lý tàu biển, dịch vụ đại lý vận tải đường biển. So với các đơn vị khác cùng ngành, lợi thế lớn của DXP là có hệ thống kho bãi rộng rãi với diện tích gần 70,000 m2 bãi và 800 m2 kho CFS.",Số 15 - Đường Ngô Quyền - P. Vạn Mỹ - Q. Ngô Quyền - Tp. Hải Phòng,http://www.doanxaport.com.vn
EVS,CTCP Chứng khoán Everest,Tài chính và bảo hiểm,"Công ty Cổ phần Chứng khoán Everest có tiền thân là Công ty Cổ phần Chứng khoán Đại Dương, được thành lập vào năm 2006. Công ty cung cấp tất cả các dịch vụ liên quan đến chứng khoán cơ bản bao gồm: môi giới, bảo lãnh phát hành, lưu ký chứng khoán, tự doanh chứng khoán, đầu tư và tư vấn tài chính. EVS được niêm yết trên Sở Giao dịch Chứng khoán Hà Nội (HNX) từ tháng 05/2019.",Tầng 2 Tòa nhà VNT Tower - Số 19 Nguyễn Trãi - P. Khương Trung - Q. Thanh Xuân - Tp. Hà Nội,https://www.eves.com.vn
FID,CTCP Đầu tư và Phát triển Doanh nghiệp Việt Nam,Bán buôn kim loại và khoáng sản (trừ dầu khí),"CTCP Đầu tư và Phát triển doanh nghiệp Việt Nam (FID) được thành lập năm 2010 với cổ đông sáng lập là những lãnh đạo, chuyên gia cao cấp từ Bộ Xây dựng, các Tổng công ty Xây dựng Nhà nước và các định chế tài chính, bảo hiểm. Từ ngày đầu thành lập đến năm 2013, Công ty chủ yếu hoạt động môi giới bất động sản. Đến năm 2014, Công ty mở rộng kinh doanh thương mại các mặt hàng quặng kim loại, vật liệu xây dựng và đẩy mạnh dịch vụ môi giới bất động sản, tư vấn tái cấu trúc doanh nghiệp, đầu tư tài chính. Hiện tại, FID đang có hai công ty liên kết là CTCP Gang Thép Công nghiệp Việt Nam (21.88%) và CTCP Đầu tư Thương mại Thanh Thủy (46.6%). Mục tiêu của FID là trở thành Tập đoàn đầu tư đa ngành vào các Doanh nghiệp Việt Nam và khu vực. Công ty dự kiến tăng vốn điều lệ lên 1,000 tỷ trong trung hạn và trên 5,000 tỷ trong dài hạn.",Tầng 7 số 71 Hoàng Cầu - P. Ô Chợ Dừa - Q. Đống Đa - Tp. Hà Nội,http://vndi.com.vn
GKM,CTCP Khang Minh Group,Sản xuất sản phẩm khoáng chất phi kim,"CTCP Khang Minh Group (GKM) tiền thân là CTCP Gạch Khang Minh, được thành lập vào năm 2010. Công ty hoạt động chính trong lĩnh vực sản xuất bê tông và các sản phẩm từ xi măng, thạch cao; sản xuất sản phẩm từ plastic; sản xuất sản phẩm từ chất khoáng phi kim loại… chủ yếu phục vụ thị trường Hà Nam, Hà Nội và các tỉnh lân cận. GKM hiện quản lý và vận hành 6 dây chuyền sản xuất gạch xây không nung với tổng công suất 195 triệu viên qui tiêu chuẩn/năm. Nhà máy gạch không nung của GKM được đặt tại Cụm Công nghiệp mở rộng Tây Nam, xã Thanh Sơn, huyện Kim Bảng, tỉnh Hà Nam. Đây là Nhà máy sản xuất gạch xây không nung xi măng cốt liệu có công suất lớn nhất cả nước. Tháng 01/2019, GKM chính thức công bố chiến lược giai đoạn mới, gia nhập thị trường đá ốp lát với sản phẩm chủ lực là Conslab Thạch Anh. Cùng với đó, Công ty quyết định đầu tư xây dựng nhà máy Conslab Thạch Anh tại Hà Nam với tổng mức đầu tư 300 tỷ đồng, công suất ước thiết kế đạt 1.5 triệu m2 thành phẩm/năm, gồm 6 dây chuyền tự động. Đến tháng 03/2019, Conslab Thạch Anh đã chính thức ra mắt thị trường trong nước và quốc tế, với 2 dòng sản phẩm tiêu biểu là Conslab Thạch Anh Tiêu chuẩn và Conslab Thạch Anh Đá quý.",KCN Châu Sơn - P. Lê Hồng Phong - Tp. Phủ Lý - T. Hà Nam,http://khangminhgroup.com
HBS,CTCP Chứng khoán Hòa Bình,Tài chính và bảo hiểm,"CTCP Chứng khoán Hòa Bình (HBS) được thành lập đầu năm 2008 với vốn điều lệ ban đầu là 160 tỷ đồng. Hoạt động kinh doanh chính của Công ty bao gồm lưu ký chứng khoán, môi giới chứng khoán, tự doanh chứng khoán, tư vấn đầu tư chứng khoán. Trong đó, HBS chú trọng phát triển hai mảng chính của lĩnh vực tư vấn là tư vấn niêm yết và tư vấn phát hành chứng khoán huy động vốn. HBS chính thức niêm yết trên Sở Giao dịch Chứng khoán Hà Nội (HNX) từ năm 2010.",Tầng 7-9 Tòa nhà 46-48 - Bà Triệu - P.Hàng Bài - Q.Hoàn Kiếm - Tp.Hà Nội,http://www.hbse.com.vn
HHG,CTCP Hoàng Hà,Vận tải và kho bãi,"CTCP Hoàng Hà (HHG) được thành lập năm 2001, kinh doanh đa ngành nghề nhưng chủ yếu là lĩnh vực vận tải hành khách. Hiện nay, ngoài trụ sở chính tại Thái Bình, Công ty còn mở 2 chi nhánh tại Hà Nội và Quảng Ninh. HHG có gần 350 đầu phương tiện vận tải các loại với số vốn đầu tư riêng về phương tiện đạt gần 300 tỷ đồng. HHG nhập xe từ các hãng gồm Mercedes-Benz, Toyota, Isuzu, Hyundai, Hino, Fuso,v.v... Công ty xác định một trong những lợi thế cạnh tranh của doanh nghiệp là sự kết hợp chặt chẽ giữa các loại hình dịch vụ vận tải khách trên các tuyến cố định, taxi, hợp đồng, xe buýt, dịch vụ chuyển phát nhanh, dịch vụ sửa chữa… Ngày 28/07/2010, HHG chính thức niêm yết trên sàn Sở Giao dịch Chứng khoán Hà Nội (HNX).",Số 368 phố Lý Bôn - P.Tiền Phong - Tp.Thái Bình - T.Thái Bình,http://www.hoanghaco.com.vn
